PCT ,For ,Against ,For % ,Against % 
1001,126,268,0.32,0.68
1002,188,137,0.58,0.42
1003,443,504,0.47,0.53
1004,152,175,0.46,0.54
1005,155,111,0.58,0.42
1006,385,378,0.5,0.5
1007,286,281,0.5,0.5
1008,364,607,0.37,0.63
1010,141,156,0.47,0.53
1011,92,80,0.53,0.47
1012,441,351,0.56,0.44
1013,457,403,0.53,0.47
1014,196,221,0.47,0.53
1015,249,190,0.57,0.43
1016,232,167,0.58,0.42
1017,45,35,0.56,0.44
1018,442,352,0.56,0.44
1019,142,143,0.5,0.5
1020,526,398,0.57,0.43
1021,321,292,0.52,0.48
1022,194,163,0.54,0.46
1023,435,350,0.55,0.45
1024,790,574,0.58,0.42
1025,87,71,0.55,0.45
1026,222,201,0.52,0.48
1028,186,182,0.51,0.49
1029,374,318,0.54,0.46
1030,9,5,0.64,0.36
1031,258,204,0.56,0.44
1032,388,325,0.54,0.46
1033,381,277,0.58,0.42
1036,824,592,0.58,0.42
1037,460,393,0.54,0.46
1038,662,538,0.55,0.45
1039,506,276,0.65,0.35
1040,435,478,0.48,0.52
1041,351,298,0.54,0.46
1042,215,180,0.54,0.46
1043,343,236,0.59,0.41
1044,429,420,0.51,0.49
1045,678,532,0.56,0.44
1046,405,339,0.54,0.46
1047,303,276,0.52,0.48
1048,441,353,0.56,0.44
1049,479,382,0.56,0.44
1050,301,271,0.53,0.47
1051,428,350,0.55,0.45
1052,380,350,0.52,0.48
1053,47,36,0.57,0.43
1054,496,413,0.55,0.45
1055,563,443,0.56,0.44
1056,610,475,0.56,0.44
1057,10,2,0.83,0.17
1058,14,7,0.67,0.33
1059,68,57,0.54,0.46
1060,526,397,0.57,0.43
1061,551,252,0.69,0.31
1062,35,19,0.65,0.35
1063,6,5,0.55,0.45
1069,150,146,0.51,0.49
1070,236,158,0.6,0.4
1071,445,362,0.55,0.45
1072,496,333,0.6,0.4
1074,4,5,0.44,0.56
1075,396,271,0.59,0.41
1076,657,510,0.56,0.44
1077,294,326,0.47,0.53
1078,116,72,0.62,0.38
1079,1399,820,0.63,0.37
1080,1042,551,0.65,0.35
1083,826,604,0.58,0.42
1084,413,292,0.59,0.41
1085,350,252,0.58,0.42
1086,584,456,0.56,0.44
1087,352,207,0.63,0.37
1088,166,143,0.54,0.46
1089,360,268,0.57,0.43
1090,0,0,0,0
1091,558,372,0.6,0.4
1092,183,111,0.62,0.38
1093,235,190,0.55,0.45
1094,477,253,0.65,0.35
1096,5,3,0.63,0.38
1097,177,122,0.59,0.41
1098,168,134,0.56,0.44
1099,1499,854,0.64,0.36
1100,773,477,0.62,0.38
1101,0,0,0,0
1102,28,18,0.61,0.39
1104,879,690,0.56,0.44
1105,126,104,0.55,0.45
1106,0,0,0,0
1108,0,0,0,0
1109,3,0,1,0
1111,1313,1072,0.55,0.45
1113,752,586,0.56,0.44
1114,0,0,0,0
1117,82,70,0.54,0.46
1119,21,22,0.49,0.51
1120,18,19,0.49,0.51
1123,2,1,0.67,0.33
1124,14,5,0.74,0.26
1126,0,0,0,0
1127,111,96,0.54,0.46
1130,0,0,0,0
1131,0,0,0,0
1132,1,0,1,0
1133,1,0,1,0
1134,0,0,0,0
1135,0,0,0,0
1136,83,44,0.65,0.35
1137,0,0,0,0
1138,132,72,0.65,0.35
1139,281,133,0.68,0.32
1146,28,26,0.52,0.48
2001,132,97,0.58,0.42
2002,213,184,0.54,0.46
2003,310,281,0.52,0.48
2004,458,361,0.56,0.44
2005,215,222,0.49,0.51
2006,3,2,0.6,0.4
2007,261,268,0.49,0.51
2008,175,148,0.54,0.46
2009,450,325,0.58,0.42
2010,338,331,0.51,0.49
2011,352,269,0.57,0.43
2012,249,171,0.59,0.41
2013,231,260,0.47,0.53
2014,229,246,0.48,0.52
2015,282,223,0.56,0.44
2016,182,142,0.56,0.44
2017,158,121,0.57,0.43
2018,241,260,0.48,0.52
2019,236,233,0.5,0.5
2020,423,300,0.59,0.41
2021,401,433,0.48,0.52
2022,220,255,0.46,0.54
2023,645,553,0.54,0.46
2024,366,331,0.53,0.47
2025,491,584,0.46,0.54
2026,489,579,0.46,0.54
2027,333,376,0.47,0.53
2028,519,695,0.43,0.57
2029,190,214,0.47,0.53
2030,223,230,0.49,0.51
2031,239,207,0.54,0.46
2032,99,94,0.51,0.49
2033,110,89,0.55,0.45
2034,152,88,0.63,0.37
2035,266,579,0.31,0.69
2036,273,821,0.25,0.75
2037,402,437,0.48,0.52
2038,320,484,0.4,0.6
2039,280,404,0.41,0.59
2040,475,567,0.46,0.54
2041,652,533,0.55,0.45
2042,312,243,0.56,0.44
2043,336,290,0.54,0.46
2044,432,306,0.59,0.41
2045,410,750,0.35,0.65
2046,434,764,0.36,0.64
2047,370,493,0.43,0.57
2048,335,289,0.54,0.46
2049,664,515,0.56,0.44
2050,459,386,0.54,0.46
2051,101,149,0.4,0.6
2052,198,154,0.56,0.44
2053,219,260,0.46,0.54
2054,377,703,0.35,0.65
2055,495,645,0.43,0.57
2056,292,287,0.5,0.5
2057,418,397,0.51,0.49
2058,441,393,0.53,0.47
2059,451,427,0.51,0.49
2060,271,342,0.44,0.56
2062,279,287,0.49,0.51
2064,544,570,0.49,0.51
2066,1176,999,0.54,0.46
2067,50,111,0.31,0.69
2068,1168,1020,0.53,0.47
2069,768,535,0.59,0.41
2070,356,298,0.54,0.46
2071,109,107,0.5,0.5
2072,922,689,0.57,0.43
2073,240,255,0.48,0.52
2074,156,110,0.59,0.41
2075,146,143,0.51,0.49
2076,745,521,0.59,0.41
2077,696,582,0.54,0.46
2078,656,444,0.6,0.4
2079,98,89,0.52,0.48
2080,302,255,0.54,0.46
2081,209,196,0.52,0.48
2082,325,301,0.52,0.48
2083,164,228,0.42,0.58
2084,986,1090,0.47,0.53
2085,330,286,0.54,0.46
2086,948,736,0.56,0.44
2087,564,490,0.54,0.46
2088,1016,871,0.54,0.46
2089,64,69,0.48,0.52
2090,464,301,0.61,0.39
2091,698,545,0.56,0.44
2092,103,100,0.51,0.49
2093,314,167,0.65,0.35
2094,22,99,0.18,0.82
2096,552,393,0.58,0.42
2097,697,466,0.6,0.4
2098,370,210,0.64,0.36
2099,452,410,0.52,0.48
2100,284,266,0.52,0.48
2102,813,590,0.58,0.42
2103,38,52,0.42,0.58
2104,49,52,0.49,0.51
2105,102,90,0.53,0.47
2106,134,81,0.62,0.38
2108,348,347,0.5,0.5
2109,1,1,0.5,0.5
2110,285,293,0.49,0.51
2113,22,12,0.65,0.35
2114,554,392,0.59,0.41
2115,1,0,1,0
2116,1,0,1,0
2117,129,106,0.55,0.45
2118,8,5,0.62,0.38
2119,72,63,0.53,0.47
2121,135,85,0.61,0.39
2122,376,281,0.57,0.43
2123,638,411,0.61,0.39
2124,163,253,0.39,0.61
2125,0,1,0,1
2126,354,251,0.59,0.41
2127,790,582,0.58,0.42
2128,423,295,0.59,0.41
2129,2,1,0.67,0.33
2130,614,467,0.57,0.43
2131,105,72,0.59,0.41
2132,1,0,1,0
2133,106,75,0.59,0.41
2134,268,240,0.53,0.47
2135,152,117,0.57,0.43
2137,223,303,0.42,0.58
2138,218,249,0.47,0.53
2139,635,378,0.63,0.37
2140,378,292,0.56,0.44
2141,408,309,0.57,0.43
2142,149,91,0.62,0.38
2144,456,533,0.46,0.54
2145,92,107,0.46,0.54
2147,153,69,0.69,0.31
2148,857,689,0.55,0.45
2149,424,356,0.54,0.46
2150,1,2,0.33,0.67
2151,5,4,0.56,0.44
2152,135,103,0.57,0.43
2153,101,42,0.71,0.29
2155,0,1,0,1
2156,300,233,0.56,0.44
2157,0,0,0,0
2159,64,37,0.63,0.37
2160,0,2,0,1
3001,850,910,0.48,0.52
3004,1,0,1,0
3005,0,1,0,1
3006,256,434,0.37,0.63
3007,751,738,0.5,0.5
3010,127,135,0.48,0.52
3011,210,468,0.31,0.69
3013,492,566,0.47,0.53
3014,130,187,0.41,0.59
3015,250,341,0.42,0.58
3016,53,76,0.41,0.59
3019,156,152,0.51,0.49
3021,1,1,0.5,0.5
3023,706,638,0.53,0.47
3024,0,0,0,0
3027,360,583,0.38,0.62
3028,677,408,0.62,0.38
3029,312,399,0.44,0.56
3030,494,957,0.34,0.66
3031,5,10,0.33,0.67
3032,585,479,0.55,0.45
3033,516,776,0.4,0.6
3035,199,259,0.43,0.57
3036,1032,888,0.54,0.46
3037,826,751,0.52,0.48
3039,1,1,0.5,0.5
3040,629,607,0.51,0.49
3042,626,642,0.49,0.51
3044,369,530,0.41,0.59
3045,355,646,0.35,0.65
3046,304,638,0.32,0.68
3047,421,797,0.35,0.65
3048,330,700,0.32,0.68
3049,468,988,0.32,0.68
3050,239,441,0.35,0.65
3052,1394,1110,0.56,0.44
3053,336,753,0.31,0.69
3054,481,447,0.52,0.48
3056,461,499,0.48,0.52
3057,110,256,0.3,0.7
3058,831,800,0.51,0.49
3059,520,420,0.55,0.45
3060,520,609,0.46,0.54
3061,535,451,0.54,0.46
3062,17,8,0.68,0.32
3063,460,724,0.39,0.61
3064,115,151,0.43,0.57
3065,20,12,0.63,0.38
3066,446,736,0.38,0.62
3068,594,559,0.52,0.48
3069,654,1317,0.33,0.67
3070,503,1162,0.3,0.7
3071,674,714,0.49,0.51
3072,0,0,0,0
3073,357,597,0.37,0.63
3074,669,979,0.41,0.59
3076,349,612,0.36,0.64
3077,584,1002,0.37,0.63
3078,677,1055,0.39,0.61
3079,682,1312,0.34,0.66
3080,301,378,0.44,0.56
3081,605,710,0.46,0.54
3082,659,665,0.5,0.5
3083,448,492,0.48,0.52
3084,971,788,0.55,0.45
3085,338,399,0.46,0.54
3086,412,714,0.37,0.63
3087,503,383,0.57,0.43
3088,896,979,0.48,0.52
3090,848,928,0.48,0.52
3093,1060,1592,0.4,0.6
3094,747,1198,0.38,0.62
3095,680,542,0.56,0.44
3096,39,26,0.6,0.4
3098,368,422,0.47,0.53
3099,985,911,0.52,0.48
3100,940,686,0.58,0.42
3101,716,799,0.47,0.53
3102,737,1180,0.38,0.62
3103,218,127,0.63,0.37
3104,722,907,0.44,0.56
3105,987,697,0.59,0.41
3107,432,412,0.51,0.49
3108,423,547,0.44,0.56
3109,848,618,0.58,0.42
3110,944,713,0.57,0.43
3111,1,0,1,0
3112,371,364,0.5,0.5
3113,281,219,0.56,0.44
3114,651,845,0.44,0.56
3115,360,912,0.28,0.72
3116,394,502,0.44,0.56
3117,835,1085,0.43,0.57
3118,252,313,0.45,0.55
3119,935,1132,0.45,0.55
3120,906,840,0.52,0.48
3121,1258,1088,0.54,0.46
3122,624,674,0.48,0.52
3123,1,0,1,0
3125,0,1,0,1
3127,1087,774,0.58,0.42
3129,992,742,0.57,0.43
3130,372,827,0.31,0.69
3131,2,1,0.67,0.33
3132,344,269,0.56,0.44
3134,906,511,0.64,0.36
3135,200,314,0.39,0.61
3136,120,183,0.4,0.6
3137,36,19,0.65,0.35
3138,14,21,0.4,0.6
3139,410,337,0.55,0.45
3140,117,109,0.52,0.48
3141,337,362,0.48,0.52
3142,102,60,0.63,0.37
3143,395,468,0.46,0.54
3145,676,1066,0.39,0.61
3146,882,928,0.49,0.51
3147,658,769,0.46,0.54
3149,1089,363,0.75,0.25
3150,5,9,0.36,0.64
3151,1296,1446,0.47,0.53
3152,406,337,0.55,0.45
3153,407,477,0.46,0.54
3154,472,617,0.43,0.57
3155,794,747,0.52,0.48
3156,10,6,0.63,0.38
3157,759,906,0.46,0.54
3159,544,425,0.56,0.44
3161,590,667,0.47,0.53
3162,381,282,0.57,0.43
3163,722,746,0.49,0.51
3164,4,4,0.5,0.5
3165,1098,1002,0.52,0.48
3166,112,195,0.36,0.64
3167,2,4,0.33,0.67
3168,51,56,0.48,0.52
3170,0,0,0,0
3172,147,129,0.53,0.47
3173,939,1010,0.48,0.52
3175,135,234,0.37,0.63
3177,0,0,0,0
3178,0,0,0,0
3179,2,0,1,0
3180,312,327,0.49,0.51
3181,571,689,0.45,0.55
3182,199,299,0.4,0.6
3188,0,0,0,0
3189,0,0,0,0
3190,0,0,0,0
3192,0,0,0,0
3193,50,67,0.43,0.57
3195,696,370,0.65,0.35
3197,0,0,0,0
3198,214,160,0.57,0.43
3200,0,0,0,0
3201,0,5,0,1
3204,0,0,0,0
3205,0,0,0,0
3206,20,40,0.33,0.67
3207,1,3,0.25,0.75
3208,14,25,0.36,0.64
4001,467,826,0.36,0.64
4002,173,121,0.59,0.41
4003,206,173,0.54,0.46
4004,143,247,0.37,0.63
4005,320,410,0.44,0.56
4006,116,151,0.43,0.57
4007,211,128,0.62,0.38
4008,144,265,0.35,0.65
4009,164,126,0.57,0.43
4010,190,146,0.57,0.43
4011,232,167,0.58,0.42
4012,151,84,0.64,0.36
4013,188,175,0.52,0.48
4014,87,68,0.56,0.44
4015,342,403,0.46,0.54
4016,533,486,0.52,0.48
4017,408,664,0.38,0.62
4018,168,494,0.25,0.75
4019,551,392,0.58,0.42
4020,321,209,0.61,0.39
4021,278,221,0.56,0.44
4022,34,21,0.62,0.38
4023,572,488,0.54,0.46
4024,611,540,0.53,0.47
4025,272,208,0.57,0.43
4026,719,569,0.56,0.44
4027,349,352,0.5,0.5
4028,547,552,0.5,0.5
4029,429,332,0.56,0.44
4030,71,49,0.59,0.41
4031,372,285,0.57,0.43
4032,421,342,0.55,0.45
4033,733,622,0.54,0.46
4034,348,390,0.47,0.53
4035,8,12,0.4,0.6
4036,519,557,0.48,0.52
4037,289,231,0.56,0.44
4038,712,978,0.42,0.58
4039,241,180,0.57,0.43
4040,215,222,0.49,0.51
4041,355,349,0.5,0.5
4042,29,14,0.67,0.33
4044,326,225,0.59,0.41
4045,596,471,0.56,0.44
4046,562,844,0.4,0.6
4047,568,436,0.57,0.43
4048,362,314,0.54,0.46
4049,509,368,0.58,0.42
4052,576,542,0.52,0.48
4062,167,123,0.58,0.42
4063,198,125,0.61,0.39
4065,899,520,0.63,0.37
4068,133,64,0.68,0.32
4070,747,652,0.53,0.47
4075,128,160,0.44,0.56
4076,662,417,0.61,0.39
4077,735,494,0.6,0.4
4082,330,227,0.59,0.41
4084,95,70,0.58,0.42
4091,249,261,0.49,0.51
4093,689,472,0.59,0.41
4094,482,421,0.53,0.47
4095,456,384,0.54,0.46
4096,562,407,0.58,0.42
4098,487,307,0.61,0.39
4099,325,191,0.63,0.37
4101,3,3,0.5,0.5
4102,163,127,0.56,0.44
4103,0,0,0,0
4104,554,277,0.67,0.33
4106,94,65,0.59,0.41
4108,974,550,0.64,0.36
4110,220,374,0.37,0.63
4111,78,30,0.72,0.28
4112,139,381,0.27,0.73
4113,137,144,0.49,0.51
4115,48,57,0.46,0.54
4117,137,164,0.46,0.54
4119,125,187,0.4,0.6
4120,50,26,0.66,0.34
4122,18,32,0.36,0.64
4123,30,38,0.44,0.56
4124,416,316,0.57,0.43
4125,16,13,0.55,0.45
4127,13,5,0.72,0.28
4128,35,57,0.38,0.62
4131,91,55,0.62,0.38
4134,3,1,0.75,0.25
4135,0,0,0,0
4136,12,8,0.6,0.4
4138,4,0,1,0
4139,0,0,0,0
4140,0,0,0,0
4141,42,42,0.5,0.5
4142,129,86,0.6,0.4
4147,82,64,0.56,0.44
4148,48,37,0.56,0.44
4149,89,65,0.58,0.42
4153,36,14,0.72,0.28
4154,188,146,0.56,0.44
4155,485,822,0.37,0.63
4156,254,165,0.61,0.39
4157,306,486,0.39,0.61
4159,4,3,0.57,0.43
4161,126,74,0.63,0.37
4163,0,0,0,0
4165,24,16,0.6,0.4
4166,67,41,0.62,0.38
4167,7,4,0.64,0.36
4169,85,98,0.46,0.54
4170,96,64,0.6,0.4
4171,354,310,0.53,0.47
4172,330,216,0.6,0.4
4173,447,384,0.54,0.46
4174,335,239,0.58,0.42
4175,0,0,0,0
4176,262,274,0.49,0.51
4177,9,9,0.5,0.5
4178,0,2,0,1
4179,864,631,0.58,0.42
4180,0,2,0,1
4181,0,0,0,0
4183,18,36,0.33,0.67
4184,3,5,0.38,0.63
4186,25,33,0.43,0.57
4190,0,2,0,1
4193,11,8,0.58,0.42
4199,328,156,0.68,0.32
4200,702,498,0.59,0.42
4202,0,0,0,0
4203,63,124,0.34,0.66
4204,2,0,1,0
4205,33,21,0.61,0.39
4206,123,75,0.62,0.38
4207,0,0,0,0
4208,0,0,0,0
4210,1,5,0.17,0.83
4211,6,14,0.3,0.7
4212,0,0,0,0
5555,0,0,0,0