pct,reg,dems,repubs,dems % ,repubs % 
1001,878,192,29,0.87,0.13
1002,671,68,37,0.65,0.35
1003,2219,260,45,0.85,0.15
1004,1008,113,16,0.88,0.12
1005,830,87,25,0.78,0.22
1006,2146,222,78,0.74,0.26
1007,1263,145,42,0.78,0.22
1008,1830,347,62,0.85,0.15
1009,1853,95,85,0.53,0.47
1010,639,114,27,0.81,0.19
1011,1142,117,30,0.80,0.20
1012,2229,175,97,0.64,0.36
1013,2430,246,50,0.83,0.17
1014,1414,99,23,0.81,0.19
1015,1440,106,30,0.78,0.22
1016,1211,96,21,0.82,0.18
1017,263,33,19,0.63,0.37
1018,972,94,21,0.82,0.18
1019,901,76,21,0.78,0.22
1020,1771,210,81,0.72,0.28
1021,1717,151,32,0.83,0.17
1022,943,78,23,0.77,0.23
1023,2610,204,49,0.81,0.19
1024,3124,284,177,0.62,0.38
1025,734,32,8,0.80,0.20
1026,1316,101,21,0.83,0.17
1027,521,37,14,0.73,0.27
1028,757,72,20,0.78,0.22
1029,1940,194,46,0.81,0.19
1030,109,4,1,0.80,0.20
1031,1539,127,38,0.77,0.23
1032,2466,183,31,0.86,0.14
1033,2193,134,74,0.64,0.36
1034,4992,298,274,0.52,0.48
1035,1028,12,12,0.50,0.50
1036,3605,266,209,0.56,0.44
1037,2526,195,88,0.69,0.31
1038,3399,239,145,0.62,0.38
1039,3271,123,56,0.69,0.31
1040,2738,197,52,0.79,0.21
1041,2357,178,44,0.80,0.20
1042,1177,109,34,0.76,0.24
1043,1617,114,69,0.62,0.38
1044,2087,219,76,0.74,0.26
1045,3314,288,98,0.75,0.25
1046,2091,205,46,0.82,0.18
1047,1771,145,45,0.76,0.24
1048,2303,210,74,0.74,0.26
1049,2589,213,71,0.75,0.25
1050,845,92,31,0.75,0.25
1051,2078,200,110,0.65,0.35
1052,2126,213,101,0.68,0.32
1053,257,28,15,0.65,0.35
1054,2643,311,91,0.77,0.23
1055,2007,220,137,0.62,0.38
1056,3630,287,167,0.63,0.37
1057,2603,108,143,0.43,0.57
1058,2867,149,167,0.47,0.53
1059,466,13,17,0.43,0.57
1060,2997,208,62,0.77,0.23
1061,2835,165,47,0.78,0.22
1062,217,5,9,0.36,0.64
1063,2393,99,175,0.36,0.64
1064,1301,62,75,0.45,0.55
1065,2439,149,161,0.48,0.52
1066,873,45,38,0.54,0.46
1067,3393,130,299,0.30,0.70
1068,3138,104,110,0.49,0.51
1069,482,68,67,0.50,0.50
1070,1129,74,37,0.67,0.33
1071,1994,164,82,0.67,0.33
1072,2051,194,78,0.71,0.29
1073,3775,201,193,0.51,0.49
1074,22,2,193,0.01,0.99
1075,2462,152,57,0.73,0.27
1076,2940,252,172,0.59,0.41
1077,1663,190,43,0.82,0.18
1078,523,37,9,0.80,0.20
1079,2691,216,84,0.72,0.28
1080,2916,141,53,0.73,0.27
1081,2161,140,349,0.29,0.71
1082,3170,211,136,0.61,0.39
1083,2790,273,185,0.60,0.40
1084,2020,143,82,0.64,0.36
1085,1749,148,54,0.73,0.27
1086,2489,277,125,0.69,0.31
1087,1675,140,52,0.73,0.27
1088,986,91,24,0.79,0.21
1089,53,9,3,0.75,0.25
1090,0,0,0,0.00,0.00
1091,2385,233,97,0.71,0.29
1092,1400,78,28,0.74,0.26
1093,1347,85,73,0.54,0.46
1094,2944,129,81,0.61,0.39
1095,361,6,6,0.50,0.50
1096,169,10,2,0.83,0.17
1097,846,69,27,0.72,0.28
1098,879,98,18,0.84,0.16
1099,2858,312,169,0.65,0.35
1100,2921,247,166,0.60,0.40
1101,0,0,0,0.00,0.00
1102,1116,74,67,0.52,0.48
1103,1109,47,51,0.48,0.52
1104,3195,361,257,0.58,0.42
1105,809,39,32,0.55,0.45
1106,0,0,0,0.00,0.00
1107,3251,185,169,0.52,0.48
1108,1882,144,125,0.54,0.46
1109,4,144,1,0.99,0.01
1110,3275,161,114,0.59,0.41
1111,3440,316,192,0.62,0.38
1112,2742,159,107,0.60,0.40
1113,3079,221,160,0.58,0.42
1114,164,5,10,0.33,0.67
1115,1094,114,50,0.70,0.30
1116,1420,122,82,0.60,0.40
1117,357,43,22,0.66,0.34
1118,3883,240,213,0.53,0.47
1119,143,4,4,0.50,0.50
1120,168,6,3,0.67,0.33
1121,3611,225,189,0.54,0.46
1122,2869,192,235,0.45,0.55
1123,628,33,51,0.39,0.61
1124,235,21,9,0.70,0.30
1125,2187,175,154,0.53,0.47
1126,0,0,0,0.00,0.00
1127,626,58,14,0.81,0.19
1128,2001,111,78,0.59,0.41
1129,3121,290,225,0.56,0.44
1130,0,0,0,0.00,0.00
1131,0,0,0,0.00,0.00
1132,556,62,28,0.69,0.31
1133,5,62,28,0.69,0.31
1134,0,0,0,0.00,0.00
1135,0,0,0,0.00,0.00
1136,144,2,5,0.29,0.71
1137,0,0,0,0.00,0.00
1138,1097,52,27,0.66,0.34
1139,2083,127,90,0.59,0.41
1140,1260,83,49,0.63,0.37
1141,2948,170,123,0.58,0.42
1142,2204,100,55,0.65,0.35
1143,3781,231,209,0.53,0.48
1144,2829,424,750,0.36,0.64
1145,876,56,92,0.38,0.62
1146,173,11,13,0.46,0.54
1147,2720,192,119,0.62,0.38
1148,979,36,34,0.51,0.49
1149,2221,208,105,0.66,0.34
1150,2747,146,119,0.55,0.45
1151,2729,169,167,0.50,0.50
1152,1656,145,160,0.48,0.52
1153,1676,101,93,0.52,0.48
1154,2215,188,158,0.54,0.46
1155,1554,102,43,0.70,0.30
1156,2867,255,222,0.53,0.47
1157,2383,126,66,0.66,0.34
1158,1147,96,50,0.66,0.34
1159,324,20,14,0.59,0.41
2001,906,47,15,0.76,0.24
2002,1191,98,29,0.77,0.23
2003,2124,158,27,0.85,0.15
2004,2898,187,48,0.80,0.20
2005,907,130,33,0.80,0.20
2006,21,3,33,0.08,0.92
2007,1670,133,27,0.83,0.17
2008,1081,95,19,0.83,0.17
2009,2312,92,51,0.64,0.36
2010,1618,133,95,0.58,0.42
2011,1888,173,23,0.88,0.12
2012,1532,111,24,0.82,0.18
2013,1207,149,35,0.81,0.19
2014,1195,103,37,0.74,0.26
2015,1893,117,21,0.85,0.15
2016,1319,64,9,0.88,0.12
2017,1178,75,15,0.83,0.17
2018,1126,148,28,0.84,0.16
2019,1816,132,26,0.84,0.16
2020,2987,225,36,0.86,0.14
2021,2880,184,32,0.85,0.15
2022,1577,116,32,0.78,0.22
2023,2556,268,69,0.80,0.20
2024,1818,169,70,0.71,0.29
2025,2452,297,85,0.78,0.22
2026,2183,302,128,0.70,0.30
2027,1263,232,83,0.74,0.26
2028,2209,397,154,0.72,0.28
2029,1243,85,33,0.72,0.28
2030,1473,102,22,0.82,0.18
2031,1632,94,20,0.82,0.18
2032,544,52,11,0.83,0.17
2033,1285,53,12,0.82,0.18
2034,1479,43,14,0.75,0.25
2035,1332,301,90,0.77,0.23
2036,1554,364,150,0.71,0.29
2037,1524,159,158,0.50,0.50
2038,1211,185,110,0.63,0.37
2039,1350,213,34,0.86,0.14
2040,2559,269,122,0.69,0.31
2041,2799,279,120,0.70,0.30
2042,1727,146,37,0.80,0.20
2043,2278,151,33,0.82,0.18
2044,2603,148,68,0.69,0.31
2045,1151,289,72,0.80,0.20
2046,1843,396,123,0.76,0.24
2047,1630,268,90,0.75,0.25
2048,1796,142,39,0.78,0.22
2049,2987,281,117,0.71,0.29
2050,1806,219,103,0.68,0.32
2051,781,74,22,0.77,0.23
2052,1035,77,30,0.72,0.28
2053,1256,139,36,0.79,0.21
2054,1937,317,72,0.81,0.19
2055,1662,174,66,0.73,0.28
2056,1419,157,62,0.72,0.28
2057,2297,164,61,0.73,0.27
2058,2259,171,77,0.69,0.31
2059,2281,226,84,0.73,0.27
2060,1471,167,62,0.73,0.27
2061,1184,95,60,0.61,0.39
2062,1152,143,77,0.65,0.35
2063,2013,158,337,0.32,0.68
2064,2341,257,176,0.59,0.41
2065,2264,122,79,0.61,0.39
2066,3669,427,426,0.50,0.50
2067,271,49,15,0.77,0.23
2068,4077,459,390,0.54,0.46
2069,3128,250,165,0.60,0.40
2070,2073,195,29,0.87,0.13
2071,883,68,14,0.83,0.17
2072,3258,246,254,0.49,0.51
2073,1228,121,54,0.69,0.31
2074,1095,44,17,0.72,0.28
2075,1110,70,16,0.81,0.19
2076,2449,189,211,0.47,0.53
2077,2273,278,195,0.59,0.41
2078,2640,208,148,0.58,0.42
2079,710,41,5,0.89,0.11
2080,1427,122,66,0.65,0.35
2081,850,99,54,0.65,0.35
2082,1600,135,86,0.61,0.39
2083,720,165,46,0.78,0.22
2084,3312,372,487,0.43,0.57
2085,1406,149,74,0.67,0.33
2086,3431,344,293,0.54,0.46
2087,1851,209,238,0.47,0.53
2088,3825,405,259,0.61,0.39
2089,554,34,5,0.87,0.13
2090,2230,105,54,0.66,0.34
2091,3037,219,107,0.67,0.33
2092,511,27,27,0.50,0.50
2093,1834,82,79,0.51,0.49
2094,147,31,23,0.57,0.43
2095,2393,229,207,0.53,0.47
2096,2426,148,75,0.66,0.34
2097,2505,206,139,0.60,0.40
2098,1517,110,75,0.59,0.41
2099,1643,151,169,0.47,0.53
2100,1306,136,59,0.70,0.30
2101,79,3,16,0.16,0.84
2102,2641,278,226,0.55,0.45
2103,321,18,4,0.82,0.18
2104,277,32,3,0.91,0.09
2105,579,53,9,0.85,0.15
2106,582,34,15,0.69,0.31
2107,3526,185,169,0.52,0.48
2108,1188,136,158,0.46,0.54
2109,0,0,0,0.00,0.00
2110,1025,150,117,0.56,0.44
2111,1245,77,44,0.64,0.36
2112,1793,199,149,0.57,0.43
2113,96,4,2,0.67,0.33
2114,2305,163,107,0.60,0.40
2115,3707,229,346,0.40,0.60
2116,0,0,0,0.00,0.00
2117,659,59,12,0.83,0.17
2118,33,7,12,0.37,0.63
2119,321,21,10,0.68,0.32
2120,2810,168,170,0.50,0.50
2121,520,31,25,0.55,0.45
2122,1770,88,51,0.63,0.37
2123,2154,135,169,0.44,0.56
2124,617,96,62,0.61,0.39
2125,3620,250,263,0.49,0.51
2126,1634,122,80,0.60,0.40
2127,2673,281,232,0.55,0.45
2128,2546,149,35,0.81,0.19
2129,0,0,0,0.00,0.00
2130,2077,207,161,0.56,0.44
2131,434,35,18,0.66,0.34
2132,3,35,18,0.66,0.34
2133,357,45,32,0.58,0.42
2134,1529,63,42,0.60,0.40
2135,768,66,21,0.76,0.24
2136,4187,238,264,0.47,0.53
2137,1207,151,76,0.67,0.33
2138,1079,105,76,0.58,0.42
2139,1931,146,177,0.45,0.55
2140,1902,137,68,0.67,0.33
2141,1380,151,130,0.54,0.46
2142,698,35,29,0.55,0.45
2143,2216,219,173,0.56,0.44
2144,1910,232,112,0.67,0.33
2145,342,46,39,0.54,0.46
2146,99,8,5,0.62,0.38
2147,730,46,47,0.49,0.51
2148,3857,256,154,0.62,0.38
2149,2332,159,86,0.65,0.35
2150,11,1,86,0.01,0.99
2151,60,1,1,0.50,0.50
2152,619,53,15,0.78,0.22
2153,431,28,9,0.76,0.24
2154,4151,241,208,0.54,0.46
2155,2,241,208,0.54,0.46
2156,1376,85,58,0.59,0.41
2157,0,0,0,0.00,0.00
2158,0,0,0,0.00,0.00
2159,214,22,18,0.55,0.45
2160,6,2,2,0.50,0.50
2161,219,26,29,0.47,0.53
2162,725,39,22,0.64,0.36
2163,2512,256,232,0.52,0.48
2164,2179,190,113,0.63,0.37
2165,2864,287,303,0.49,0.51
2166,1685,234,162,0.59,0.41
2167,63,2,1,0.67,0.33
2168,1633,161,111,0.59,0.41
2169,1518,196,140,0.58,0.42
2170,3847,293,287,0.51,0.49
2171,1601,134,134,0.50,0.50
2172,411,35,23,0.60,0.40
2173,1507,152,110,0.58,0.42
2174,2507,334,242,0.58,0.42
2175,1946,130,69,0.65,0.35
2176,1328,129,107,0.55,0.45
2177,0,0,0,0.00,0.00
2178,1071,240,61,0.80,0.20
2179,56,7,2,0.78,0.22
2180,2947,164,128,0.56,0.44
2181,2423,128,140,0.48,0.52
2182,2130,122,170,0.42,0.58
3001,3824,237,441,0.35,0.65
3002,2432,174,359,0.33,0.67
3003,1546,106,166,0.39,0.61
3004,0,0,0,0.00,0.00
3005,3586,185,544,0.25,0.75
3006,1074,139,154,0.47,0.53
3007,3318,177,328,0.35,0.65
3008,97,2,19,0.10,0.90
3009,15,2,4,0.33,0.67
3010,690,30,20,0.60,0.40
3011,958,168,146,0.54,0.46
3012,1398,64,239,0.21,0.79
3013,1868,195,169,0.54,0.46
3014,554,60,57,0.51,0.49
3015,1709,199,157,0.56,0.44
3016,0,0,0,0.00,0.00
3017,2818,128,490,0.21,0.79
3018,1772,236,356,0.40,0.60
3019,292,10,10,0.50,0.50
3020,2618,363,316,0.53,0.47
3021,2353,144,581,0.20,0.80
3022,1591,213,230,0.48,0.52
3023,80,9,15,0.38,0.63
3024,0,0,0,0.00,0.00
3025,1781,183,246,0.43,0.57
3026,1488,167,233,0.42,0.58
3027,1493,150,223,0.40,0.60
3028,2135,155,213,0.42,0.58
3029,1265,143,129,0.53,0.47
3030,2233,223,441,0.34,0.66
3031,26,6,6,0.50,0.50
3032,25,6,5,0.55,0.45
3033,2221,123,399,0.24,0.76
3034,2673,92,627,0.13,0.87
3035,806,80,78,0.51,0.49
3036,4354,333,244,0.58,0.42
3037,102,6,5,0.55,0.45
3038,1212,156,169,0.48,0.52
3039,4463,204,493,0.29,0.71
3040,2124,191,268,0.42,0.58
3041,591,76,96,0.44,0.56
3042,2542,155,319,0.33,0.67
3043,3005,158,523,0.23,0.77
3044,1535,124,170,0.42,0.58
3045,1588,143,294,0.33,0.67
3046,1528,197,205,0.49,0.51
3047,1819,257,255,0.50,0.50
3048,1673,209,230,0.48,0.52
3049,2126,271,400,0.40,0.60
3050,1141,122,201,0.38,0.62
3051,380,35,96,0.27,0.73
3052,1470,81,171,0.32,0.68
3053,2008,202,309,0.40,0.60
3054,128,10,4,0.71,0.29
3055,3541,123,548,0.18,0.82
3056,2286,152,115,0.57,0.43
3057,600,57,81,0.41,0.59
3058,3737,230,228,0.50,0.50
3059,2181,107,211,0.34,0.66
3060,1971,226,235,0.49,0.51
3061,2055,171,166,0.51,0.49
3062,43,4,4,0.50,0.50
3063,1952,229,236,0.49,0.51
3064,411,53,50,0.51,0.49
3065,3515,193,370,0.34,0.66
3066,1918,241,270,0.47,0.53
3067,1562,216,213,0.50,0.50
3068,2832,196,95,0.67,0.33
3069,3167,391,457,0.46,0.54
3070,2417,338,434,0.44,0.56
3071,2650,255,239,0.52,0.48
3072,4393,212,446,0.32,0.68
3073,1574,161,192,0.46,0.54
3074,2578,333,437,0.43,0.57
3075,3099,293,737,0.28,0.72
3076,1335,109,324,0.25,0.75
3077,2462,289,393,0.42,0.58
3078,2868,269,366,0.42,0.58
3079,3248,326,505,0.39,0.61
3080,1143,116,200,0.37,0.63
3081,2274,213,256,0.45,0.55
3082,2483,212,267,0.44,0.56
3083,1640,142,239,0.37,0.63
3084,3493,262,368,0.42,0.58
3085,1276,112,167,0.40,0.60
3086,1472,187,309,0.38,0.62
3087,1658,91,187,0.33,0.67
3088,3893,251,514,0.33,0.67
3089,3740,219,637,0.26,0.74
3090,3230,246,397,0.38,0.62
3091,835,49,246,0.17,0.83
3092,2554,196,650,0.23,0.77
3093,2731,181,429,0.30,0.70
3094,4387,247,581,0.30,0.70
3095,3393,155,145,0.52,0.48
3096,3316,219,463,0.32,0.68
3097,26,219,8,0.96,0.04
3098,1258,135,208,0.39,0.61
3099,3533,288,366,0.44,0.56
3100,3513,263,270,0.49,0.51
3101,2702,259,363,0.42,0.58
3102,3083,254,513,0.33,0.67
3103,830,63,39,0.62,0.38
3104,2661,262,451,0.37,0.63
3105,3531,223,357,0.38,0.62
3106,1708,116,330,0.26,0.74
3107,1238,61,253,0.19,0.81
3108,1556,153,286,0.35,0.65
3109,3315,275,218,0.56,0.44
3110,3093,225,287,0.44,0.56
3111,0,0,0,0.00,0.00
3112,1642,140,105,0.57,0.43
3113,1128,55,44,0.56,0.44
3114,2299,176,471,0.27,0.73
3115,1836,229,372,0.38,0.62
3116,1873,95,170,0.36,0.64
3117,3044,318,561,0.36,0.64
3118,999,124,154,0.45,0.55
3119,2955,270,350,0.44,0.56
3120,3379,267,289,0.48,0.52
3121,3000,199,333,0.37,0.63
3122,2397,207,292,0.41,0.59
3123,916,41,81,0.34,0.66
3124,5004,294,497,0.37,0.63
3125,4070,190,404,0.32,0.68
3126,1991,132,268,0.33,0.67
3127,1939,142,275,0.34,0.66
3128,54,4,9,0.31,0.69
3129,3310,290,246,0.54,0.46
3130,1851,155,439,0.26,0.74
3131,2,155,1,0.99,0.01
3132,1597,101,70,0.59,0.41
3133,0,0,0,0.00,0.00
3134,2845,190,131,0.59,0.41
3135,928,115,99,0.54,0.46
3136,1006,58,46,0.56,0.44
3137,3410,181,233,0.44,0.56
3138,65,4,10,0.29,0.71
3139,1927,94,160,0.37,0.63
3140,40,2,2,0.50,0.50
3141,1,2,2,0.50,0.50
3142,624,26,17,0.60,0.40
3143,1561,152,164,0.48,0.52
3144,705,48,75,0.39,0.61
3145,3824,255,475,0.35,0.65
3146,3515,326,250,0.57,0.43
3147,93,6,2,0.75,0.25
3148,1485,79,190,0.29,0.71
3149,2736,57,14,0.80,0.20
3150,32,6,1,0.86,0.14
3151,3165,203,440,0.32,0.68
3152,781,74,125,0.37,0.63
3153,1534,168,207,0.45,0.55
3154,1726,185,352,0.34,0.66
3155,3090,182,381,0.32,0.68
3156,13,3,1,0.75,0.25
3157,2677,281,423,0.40,0.60
3158,76,5,14,0.26,0.74
3159,2564,201,173,0.54,0.46
3160,1674,108,226,0.32,0.68
3161,2746,214,187,0.53,0.47
3162,3011,208,233,0.47,0.53
3163,2631,180,386,0.32,0.68
3164,2083,135,283,0.32,0.68
3165,3796,317,479,0.40,0.60
3166,541,81,67,0.55,0.45
3167,13,81,1,0.99,0.01
3168,599,57,55,0.51,0.49
3169,139,12,24,0.33,0.67
3170,1,12,24,0.33,0.67
3171,0,0,0,0.00,0.00
3172,622,34,46,0.43,0.58
3173,3756,234,431,0.35,0.65
3174,4389,296,657,0.31,0.69
3175,629,80,71,0.53,0.47
3176,59,8,8,0.50,0.50
3177,0,0,0,0.00,0.00
3178,0,0,0,0.00,0.00
3179,0,0,0,0.00,0.00
3180,1126,97,106,0.48,0.52
3181,2681,223,404,0.36,0.64
3182,756,118,97,0.55,0.45
3183,17,118,3,0.98,0.02
3184,255,8,17,0.32,0.68
3185,296,31,21,0.60,0.40
3186,0,0,0,0.00,0.00
3187,0,0,0,0.00,0.00
3188,0,0,0,0.00,0.00
3189,1114,102,99,0.51,0.49
3190,463,20,25,0.44,0.56
3191,251,11,42,0.21,0.79
3192,0,0,0,0.00,0.00
3193,218,18,23,0.44,0.56
3194,4743,185,488,0.27,0.73
3195,2071,95,96,0.50,0.50
3196,18,95,2,0.98,0.02
3197,0,0,0,0.00,0.00
3198,759,55,85,0.39,0.61
3199,3596,179,349,0.34,0.66
3200,0,0,0,0.00,0.00
3201,4527,245,626,0.28,0.72
3202,1307,74,113,0.40,0.60
3203,483,34,71,0.32,0.68
3204,0,0,0,0.00,0.00
3205,0,0,0,0.00,0.00
4001,2475,250,125,0.67,0.33
4002,1075,101,27,0.79,0.21
4003,1438,145,26,0.85,0.15
4004,602,90,49,0.65,0.35
4005,1742,241,44,0.85,0.15
4006,659,56,19,0.75,0.25
4007,1787,45,50,0.47,0.53
4008,646,82,74,0.53,0.47
4009,1004,77,20,0.79,0.21
4010,2395,188,25,0.88,0.12
4011,1147,105,14,0.88,0.12
4012,952,85,17,0.83,0.17
4013,975,93,36,0.72,0.28
4014,484,42,11,0.79,0.21
4015,1779,228,56,0.80,0.20
4016,2356,315,91,0.78,0.22
4017,2204,325,71,0.82,0.18
4018,1004,260,68,0.79,0.21
4019,2849,224,116,0.66,0.34
4020,1305,71,40,0.64,0.36
4021,1140,101,83,0.55,0.45
4022,246,6,6,0.50,0.50
4023,2384,235,171,0.58,0.42
4024,2787,262,145,0.64,0.36
4025,1301,128,57,0.69,0.31
4026,3567,307,98,0.76,0.24
4027,1633,217,65,0.77,0.23
4028,2316,369,87,0.81,0.19
4029,2463,254,50,0.84,0.16
4030,418,47,2,0.96,0.04
4031,1964,177,56,0.76,0.24
4032,1754,206,66,0.76,0.24
4033,3349,377,175,0.68,0.32
4034,1782,177,94,0.65,0.35
4035,34,6,3,0.67,0.33
4036,2615,414,78,0.84,0.16
4037,1866,175,22,0.89,0.11
4038,2633,298,180,0.62,0.38
4039,1340,169,14,0.92,0.08
4040,1203,138,28,0.83,0.17
4041,2119,278,35,0.89,0.11
4042,258,11,10,0.52,0.48
4043,3127,228,168,0.58,0.42
4044,1406,114,78,0.59,0.41
4045,2489,235,167,0.58,0.42
4046,2673,277,364,0.43,0.57
4047,2882,222,121,0.65,0.35
4048,2005,241,59,0.80,0.20
4049,2701,187,96,0.66,0.34
4050,1635,138,158,0.47,0.53
4051,1820,162,232,0.41,0.59
4052,2210,194,254,0.43,0.57
4053,2261,164,120,0.58,0.42
4054,3871,278,338,0.45,0.55
4055,1662,133,163,0.45,0.55
4056,3350,224,273,0.45,0.55
4057,1680,186,347,0.35,0.65
4058,2029,117,230,0.34,0.66
4059,2326,174,162,0.52,0.48
4060,2146,142,141,0.50,0.50
4061,2681,123,71,0.63,0.37
4062,728,67,28,0.71,0.29
4063,1098,62,48,0.56,0.44
4064,2335,205,198,0.51,0.49
4065,2133,148,62,0.70,0.30
4066,3491,310,150,0.67,0.33
4067,2135,94,127,0.43,0.57
4068,843,77,39,0.66,0.34
4069,940,95,179,0.35,0.65
4070,3219,432,143,0.75,0.25
4071,1559,57,365,0.14,0.86
4072,3184,182,493,0.27,0.73
4073,1762,105,146,0.42,0.58
4074,2352,129,172,0.43,0.57
4075,644,79,20,0.80,0.20
4076,3929,231,126,0.65,0.35
4077,3884,291,164,0.64,0.36
4078,1370,62,205,0.23,0.77
4079,1694,111,167,0.40,0.60
4080,2374,156,94,0.62,0.38
4081,782,16,19,0.46,0.54
4082,2001,139,32,0.81,0.19
4083,864,37,39,0.49,0.51
4084,823,72,24,0.75,0.25
4085,54,72,12,0.86,0.14
4086,537,24,50,0.32,0.68
4087,2472,324,183,0.64,0.36
4088,4099,349,173,0.67,0.33
4089,3373,284,224,0.56,0.44
4090,2253,157,178,0.47,0.53
4091,1019,101,62,0.62,0.38
4092,1677,139,242,0.36,0.64
4093,2755,217,184,0.54,0.46
4094,1868,190,168,0.53,0.47
4095,1720,155,166,0.48,0.52
4096,2665,151,132,0.53,0.47
4097,2405,111,129,0.46,0.54
4098,1698,112,136,0.45,0.55
4099,1276,88,85,0.51,0.49
4100,965,81,59,0.58,0.42
4101,1208,65,128,0.34,0.66
4102,959,50,27,0.65,0.35
4103,0,0,0,0.00,0.00
4104,2426,126,151,0.45,0.55
4105,1258,78,121,0.39,0.61
4106,587,32,12,0.73,0.27
4107,1207,135,120,0.53,0.47
4108,3677,227,258,0.47,0.53
4109,1703,101,73,0.58,0.42
4110,1220,207,56,0.79,0.21
4111,461,17,1,0.94,0.06
4112,747,122,149,0.45,0.55
4113,1001,100,22,0.82,0.18
4114,82,5,1,0.83,0.17
4115,209,21,36,0.37,0.63
4116,40,8,8,0.50,0.50
4117,515,58,51,0.53,0.47
4118,72,5,10,0.33,0.67
4119,603,57,22,0.72,0.28
4120,224,14,11,0.56,0.44
4121,218,23,20,0.53,0.47
4122,71,18,4,0.82,0.18
4123,151,11,7,0.61,0.39
4124,2241,155,71,0.69,0.31
4125,100,5,2,0.71,0.29
4126,2090,142,198,0.42,0.58
4127,81,4,1,0.80,0.20
4128,143,22,16,0.58,0.42
4129,133,7,21,0.25,0.75
4130,910,64,48,0.57,0.43
4131,394,21,8,0.72,0.28
4132,2512,224,140,0.62,0.38
4133,30,224,1,1.00,0.00
4134,5,224,1,1.00,0.00
4135,0,0,0,0.00,0.00
4136,2036,106,148,0.42,0.58
4137,122,5,20,0.20,0.80
4138,0,0,0,0.00,0.00
4139,0,0,0,0.00,0.00
4140,0,0,0,0.00,0.00
4141,420,15,3,0.83,0.17
4142,794,35,9,0.80,0.20
4143,2935,202,60,0.77,0.23
4144,544,27,71,0.28,0.72
4145,6,27,71,0.28,0.72
4146,41,1,71,0.01,0.99
4147,289,22,27,0.45,0.55
4148,157,16,11,0.59,0.41
4149,553,25,29,0.46,0.54
4150,2022,186,85,0.69,0.31
4151,733,27,99,0.21,0.79
4152,2100,139,102,0.58,0.42
4153,311,25,27,0.48,0.52
4154,732,49,47,0.51,0.49
4155,2346,441,99,0.82,0.18
4156,1215,97,54,0.64,0.36
4157,1780,299,50,0.86,0.14
4158,566,19,15,0.56,0.44
4159,25,2,15,0.12,0.88
4160,2104,125,64,0.66,0.34
4161,783,59,9,0.87,0.13
4162,2565,159,148,0.52,0.48
4163,2181,219,122,0.64,0.36
4164,2444,191,286,0.40,0.60
4165,130,4,7,0.36,0.64
4166,378,25,12,0.68,0.32
4167,57,2,4,0.33,0.67
4168,2525,182,90,0.67,0.33
4169,335,30,51,0.37,0.63
4170,443,18,21,0.46,0.54
4171,1330,99,139,0.42,0.58
4172,1449,89,118,0.43,0.57
4173,1655,130,134,0.49,0.51
4174,1411,81,84,0.49,0.51
4175,0,0,0,0.00,0.00
4176,972,92,138,0.40,0.60
4177,38,3,138,0.02,0.98
4178,3,1,138,0.01,0.99
4179,2929,243,310,0.44,0.56
4180,5,243,310,0.44,0.56
4181,2,243,310,0.44,0.56
4182,0,0,0,0.00,0.00
4183,77,25,3,0.89,0.11
4184,26,3,3,0.50,0.50
4185,1,3,1,0.75,0.25
4186,101,19,6,0.76,0.24
4187,0,0,0,0.00,0.00
4188,0,0,0,0.00,0.00
4189,1027,62,31,0.67,0.33
4190,6,62,31,0.67,0.33
4191,4,62,31,0.67,0.33
4192,0,0,0,0.00,0.00
4193,88,5,1,0.83,0.17
4194,978,50,45,0.53,0.47
4195,0,0,0,0.00,0.00
4196,0,0,0,0.00,0.00
4197,3,50,45,0.53,0.47
4198,1825,116,53,0.69,0.31
4199,1525,61,51,0.54,0.46
4200,2979,317,145,0.69,0.31
4201,14,1,2,0.33,0.67
4202,0,0,0,0.00,0.00
4203,396,46,8,0.85,0.15
4204,7,46,8,0.85,0.15
4205,143,13,6,0.68,0.32
4206,557,24,29,0.45,0.55
4207,0,0,0,0.00,0.00
4208,0,0,0,0.00,0.00
4209,72,24,9,0.73,0.27
4210,18,2,1,0.67,0.33
4211,34,8,1,0.89,0.11
4212,0,0,0,0.00,0.00
4213,47,8,1,0.89,0.11
4214,1852,154,126,0.55,0.45
4215,216,21,14,0.60,0.40
4216,798,76,40,0.66,0.34
4217,151,4,2,0.67,0.33
4218,104,5,3,0.63,0.38
4219,15,5,3,0.63,0.38
4220,9,5,3,0.63,0.38
4221,0,0,0,0.00,0.00
4222,273,27,59,0.31,0.69
4223,23,27,4,0.87,0.13
4224,0,0,0,0.00,0.00
4225,646,38,62,0.38,0.62
4226,175,17,43,0.28,0.72
4227,0,0,0,0.00,0.00
4228,761,82,31,0.73,0.27
4229,2305,151,58,0.72,0.28
4230,2168,132,50,0.73,0.27